filename,authors,journal,doi,database,region,spatialScale,latitude,longitude,numStations,period,dataResolution,recordLength,dataSource,erosivityIndex,methodology,methodCategory,validationMethod,erosivityTrend,percentChange,absoluteChange,trendSignificance,trendDriver,scenario,projectionHorizon,projectedChange245,projectedChange585,gcmModel,cmipGeneration,baselinePeriod,downscalingMethod,uncertaintySource,uncertaintyType,uncertaintyMagnitude,biasCorrection,dataScarcityLevel,satelliteUsed,keyFinding,section,policyLink,qualityScore,readTier,_model_used,_key_used,pub_year,trend_clean,method_clean,resolution_clean,macro_region,scarcity_clean,satellite_clean,significance_clean,quality_num,lat,lon,section_clean,proj_high_emission,proj_medium_emission,proj_year_horizon,proj_baseline,proj_gcm,proj_scenario,proj_confidence,proj_where_found
Braun et al. - 2015 - Erosional response of an actively uplifting mountain belt to cyclic rainfall variations.pdf,Braun et al.2015,Earth Surf. Dynam.,10.5194/esurf-3-1-2015,WoS,Global,Continental,,,,1980-2020,,,,,We present an approximate analytical solution to the stream power equation describing the erosion of bedrock in an actively uplifting mountain range subject to periodic variations in precipitation rate.,Statistical,,,,,,,,,,,,,,,,,,,,,"We show that rainfall variability at Milankovitch periods should affect the erosional response of fast uplifting mountain belts such as the Himalayas, Taiwan or the South Island, New Zealand, and predict 1000 to 10 000-year offsets between forcing and response.",Sec2:Theory,,,Tier1-Full,llama-3.1-8b-instant,Key3,2015.0,,Statistical,,Global,,,,,,,Sec2: Theory,,,,,,,,
Brychta and Janeček - 2017 - Evaluation of discrepancies in spatial distribution of rainfall erosivity in the Czech Republic caus - Copy.pdf,Brychta et al.2017,Soil & Water Res.,10.17221/176/2015-SWR,WoS,Czech Republic,National,49.8,15.5,13,1980-2020,Daily,40,"GloREDa,CHIRPS,GPM",EI30,"The study presents all approaches of rainfall erosivity factor (R) computation and estimation used in the Czech Republic (CR). A lot of distortions stem from the difference in erosive rainfall criteria, time period, tipping rain gauges errors, low temporal resolution of rainfall data, the type of interpolation method, and inappropriate covariates.",Statistical,Empirical Bayesian Kriging,No trend,,,,,Historical,,,,,,1981-2010,,Data scarcity,Data scarcity,,,High,No-ground only,The study recommends the R factor for agricultural land in the Czech Republic R = 40 MJ/ha·cm/h +/- 10% depends on geographic location.,Sec3:Observed,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2017.0,No Trend,Statistical,Daily,Europe,High,Ground Only,,3.0,49.8,15.5,Sec3: Observed Trends,,,,,,,,
Cai et al. - 2020 - Assessment of soil and water conservation practices in the loess hilly region using a coupled rainfa - Copy.pdf,Cai et al.2020,Sustainability,10.3390/su12030934,GScholar,Loess Plateau of China,Regional,,,,2020-2050,,30 years,"GloREDa,CHIRPS,GPM",,The Soil Conservation Service Curve Number (SCS-CN) and the Modiﬁed Universal Soil Loss Equation (MUSLE) were employed to investigate the patterns of surface runoﬀand soil erosion with diﬀerent SWCPs.,Statistical,,,73.0,,,,RCP4.5 and RCP8.5,2050,,,,,1981-2010,,,,,,,,The combination of shrub and horizontal terracing was recommended due to its low water cost for sediment control among seven SWCPs.,Sec4:Modelling,,,Tier3-DataOnly,llama-3.1-8b-instant,Key2,2020.0,,Statistical,,China,,,,,,,Sec4: Modelling,18%,16%,20202050,19862005,RegCM4.5,"RCP 4.5, 8.5",HIGH,Abstract
Calvo-Alvarado et al. - 2014 - Determining Rainfall Erosivity in Costa Rica A Practical Approach.pdf,Calvo-Alvarado et al.2013,Mountain Research and Development,10.1659/MRD-JOURNAL-D-13-00062.1,Scopus,Costa Rica,National,9.9,-84.1,106,1990,Monthly,30,GloREDa,EI30,"Regression equations were computed to estimate the R-factor for the Caribbean slope, the Pacific slope, and the country as a whole. Forward stepwise analysis and multiple regression analysis were employed to determine the regression coefficients for each developed equation.",Statistical,,,,,,,Historical,,,,,,1981-2010,,,,,,High,,This study provides an easy way to estimate the R-factor using regression equations that require only simple and readily available geophysical information.,Sec4:Modelling,,3.0,Tier2-Selective,llama-3.1-8b-instant,Key3,2013.0,,Statistical,Monthly,Other/Regional,High,,,3.0,9.9,-84.1,Sec4: Modelling,,,,,,,,
Cardoso et al. - 2022 - Rainfall erosivity estimation Comparison and statistical assessment among methods using data from S.pdf,Cardoso et al.2022,Rev Bras Cienc Solo,10.36783/18069657rbcs20210122,Scopus,Southeastern Brazil,Local,-21.2278,-44.9719,1,2009-2015,Daily,6,USP Meteorological Station,EI30,The study used the Additive Main effects and Multiplicative Interaction (AMMI) model and Scott-Knott statistical tests to compare different methods for estimating rainfall erosivity.,Statistical,Comparison with standard method,,79.87,,,,,,,,,,,,,,,,Medium,TRMM,The modified Fournier method proved to be capable of consistently replacing the standard method in all situations.,Sec3:Observed,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key1,2022.0,,Statistical,Daily,Americas,Medium,TRMM,,4.0,-21.2278,-44.9719,Sec3: Observed Trends,,,,,,,,
Carpena et al. - 2021 - Rainfall-induced landslides and erosion processes in the road network of the Jaén province (southern - Copy.pdf,Carpena et al.2021,Hydrology,10.3390/hydrology8030100,Scopus,Southern Spain,Local,37.7667,-3.7833,,,Daily,,Local media and spatial proximity,Other,The study used a daily rainfall database in a dense grid (1 km) to estimate the rainfall series at each incidence point with high precision. Rainfall thresholds and their return periods were estimated using a linear equation and a power-law curve.,Statistical,,,,,,,,,,,,,,,,,,,,,"The study found that rainfall events of different durations could be estimated for use in hazard analysis, as well as for the future development of warning systems. Non-significant differences were observed between the thresholds and the return periods for the lower and higher magnitude incidences.",Sec3:Observed,,3.0,Tier2-Selective,llama-3.3-70b-versatile,Key2,2021.0,,Statistical,Daily,Europe,,,,3.0,37.7667,-3.7833,Sec3: Observed Trends,,,,,,,,
"Catari and Gallart - 2010 - Rainfall erosivity in the upper Llobregat basin, SE Pyrenees - Copy.pdf",Catarí & Gallart 2010,Pirineos. Revista de Ecología de Montaña,10.3989/Pirineos.2010.165003,Scopus,South Europe,Local,42.5,1.5,8,1991-2004,Mixed,14,Weather stations,R factor,The R factor was calculated from sub-hourly data and then extrapolated to other locations using daily rainfall data. The error propagation of this upscaling approach was analyzed.,Statistical,,,,,p<0.05,,,,,,,,,,Error propagation from upscaling approach,Data scarcity,,No,Medium,No-ground only,"The temporal averaging of R values was the largest contributor to uncertainty at the annual scale, but this contribution decreased significantly when R was estimated for the long term.",Sec3:Observed,,4.0,Tier2-Selective,llama-3.3-70b-versatile,Key3,2010.0,,Statistical,Mixed/Event,Europe,Medium,Ground Only,,4.0,42.5,1.5,Sec3: Observed Trends,,,,,,,,
Catari et al. - 2011 - Assessing the sources of uncertainty associated with the calculation of rainfall kinetic energy and.pdf,Catari et al.2011,Hydrol. Earth Syst. Sci.,10.5194/hess-15-679-2011,Scopus,NE Spain,Local,41.5103,1.9347,1,,Sub-hourly,,On-site measurements,Rainfall kinetic energy,The study used a non-linear equation to estimate rainfall kinetic energy from sub-hourly measurements of rainfall intensity. The uncertainty associated with this estimation was analyzed at different temporal and spatial scales.,Statistical,,,,,p<0.05,,,,,,,,,,"Instrumental errors, methodological limitations",Model structural,Up to 30%,,,,The uncertainty associated with the calculation of rainfall kinetic energy from rainfall intensity can be as high as 30% due to methodological limitations.,Sec3:Observed,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key1,2011.0,,Statistical,Sub-hourly,Europe,,,,4.0,41.5103,1.9347,Sec3: Observed Trends,,,,,,,,
"Commelin et al. - 2022 - Pesticides are substantially transported in particulate phase, driven by land use, rainfall event an.pdf",Commelin et al.2022,Frontiers in Environmental Science,10.3389/fenvs.2022.830589,Scopus,Europe,Local,51.97,5.66,1,2019-2020,Event-based,2,Field measurements,Other,The study used event-based monitoring of runoff and erosion events in a small agricultural catchment. The transport of pesticides in the particulate phase was quantified and compared to the dissolved phase.,Observation,,,,,p<0.05,,,,,,,,,,,,,,Low,No-ground only,"The study found that the transport of pesticides in the particulate phase is a substantial pathway for pesticide pollution, especially in arable farming on sloping lands.",Sec3:Observed,"SDG2, SDG12",4.0,Tier1-Full,llama-3.3-70b-versatile,Key2,2022.0,,Observational,Mixed/Event,Europe,Low,Ground Only,,4.0,51.97,5.66,Sec3: Observed Trends,,,,,,,,
Cui et al. - 2020 - Spatiotemporal variation and tendency analysis on rainfall erosivity in the Loess Plateau of China.pdf,Cui et al.2020,Hydrology Research,10.2166/nh.2020.030,Scopus,Loess Plateau of China,Regional,35.0,105.0,39,1971-2010,Daily,40,Observation,EI30,Statistical analyses were done using Mann-Kendall statistic tests and ordinary Kriging interpolation. The HadGEM2-ES model was used for long-term tendency prediction.,Statistical,,Decreasing,-6.5%,-84.56 MJ mm hm^2 h^-1 a^-1,Not significant,Climate change,RCP,,,,HadGEM2-ES,,1971-1990,,Climate model uncertainty,GCM spread,,No,Medium,,"The annual mean rainfall erosivity in the Loess Plateau decreased from 1971-1990 to 1991-2010, and the effect of annual precipitation on rainfall erosivity weakened under climate change.",Sec3:Observed,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key3,2020.0,Decreasing,Statistical,Daily,China,Medium,,Significant (p<0.05),4.0,35.0,105.0,Sec3: Observed Trends,,,,,,,,
Dai et al. - 2022 - Study on the characteristics of soil erosion in the black soil area of northeast China under natural.pdf,Dai et al.2022,Sustainability,10.3390/su14148284,GScholar,Northeast China,Local,45.75,126.63,9,1980-2020,Daily,1,"GloREDa,CHIRPS,GPM",Other,"Nine runoff plots were deployed in Bin County, the core area of soil erosion control, to monitor runoff and soil loss long-term, simulated by the erosion potential method (EPM) for comparison.",Statistical,,,,,p<0.05,,Historical,,,,,,,,,,,,,,The change from longitudinal ridge tillage to cross ridge tillage on gentle slopes can effectively prevent soil erosion in the study area.,Sec3:Observed,,,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2022.0,,Statistical,Daily,China,,,,,45.75,126.63,Sec3: Observed Trends,,,,,,,,
Dai et al. - 2023 - Radar remote sensing reveals potential underestimation of rainfall erosivity at the global scale.pdf,Dai et al.2023,American Association for the Advancement of Science,,GScholar,Global,Global,,,,2015-2019,Daily,5,GPM,RKEMPH,"We provide the first global-level estimation of rainfall microphysics–based RKE (RKEMPH) flux spanning from 2015 to 2019 at a spatial resolution of 0.1° × 0.1° between 60°N and 60°S, covering ~87% of the Earth’s land surface (~1.18 × 108 km2).",Remote Sensing,"We evaluated the daily rainfall and raindrop microphysics based on radar remote sensing against meteorological data with 4,602,282 daily records and disdrometer data distributed around the world.",,,,p<0.05,,Historical,,,,,,,,,,,,,GPM,Our RKEMPH products and the resultant rainfall erosivity are then compared with the traditional RKEKE-I estimates derived from a widely used empirical KE-I relation.,Sec4:Modelling,,,Tier3-DataOnly,llama-3.1-8b-instant,Key2,2023.0,,Remote Sensing,Daily,Global,,GPM,,,,,Sec4: Modelling,,,,,,,,
Das et al. - 2024 - GloRESatE A dataset for global rainfall erosivity derived from multi-source data.pdf,Das et al.2024,Scientific Data,10.1038/s41597-024-03756-5,Scopus,Global,Global,,,6200,,Sub-hourly,,"GloREDa,CMORPH,IMERG,ERA5-Land",EI30,A machine learning-based Gaussian Process Regression (GPR) model was used to assimilate multi-source rainfall erosivity estimates alongside geoclimatic covariates to prepare a unified high-resolution mean annual rainfall erosivity product.,ML,Cross-validation with gauge records and inter-comparison with existing global rainfall erosivity datasets,,40.0,,,,Historical,,,,,,,,,,,,Low,"GPM,TRMM,CHIRPS,ERA5",The proposed rainfall erosivity product performs well during cross-validation with gauge records and inter-comparison with existing global rainfall erosivity datasets.,Sec4:Modelling,"SDG15.3,IPCC AR6,UNCCD",5.0,Tier1-Full,llama-3.1-8b-instant,Key3,2024.0,,Machine Learning,Sub-hourly,Global,Low,GPM,,5.0,,,Sec4: Modelling,,,,,,,,
Das et al. - 2025 - Identifying monthly rainfall erosivity patterns using hourly rainfall data across India.pdf,Das et al.2025,Scientific Reports,10.1038/s41598-025-11992-x,Scopus,India,National,22.3197,79.8566,261,1969-2021,Hourly,52,"GloREDa,CHIRPS,GPM",EI30,"This study presents a comprehensive analysis of the spatial patterns and monthly distribution of rainfall erosivity across India, using data from 261 hourly and 2,525 monthly rainfall stations covering the period from 1969 to 2021.",Statistical,,Increasing,+12.4%,,p<0.01,,Historical,,,,,,1981-2010,,,,,,Low,GPM,"This study provides valuable insights into erosive rainfall characteristics, enhances rain-driven erosion assessment, and supports the development of timely and location-specific soil conservation strategies across India.",Sec4:Modelling,"SDG15.3,IPCC AR6,UNCCD",5.0,Tier1-Full,llama-3.1-8b-instant,Key1,2025.0,Increasing,Statistical,Hourly,South/SE Asia,Low,GPM,Significant (p<0.01),5.0,22.3197,79.8566,Sec4: Modelling,,,,,,,,
Deal et al. - 2018 - Understanding the role of rainfall and hydrology in determining fluvial erosion efficiency.pdf,Deal et al.2018,Journal of Geophysical Research: Earth Surface,10.1002/2017JF004393,WoS,Global,Global,,,,1980-2020,Daily,38,"GloREDa,CHIRPS,GPM",Erosivity Density,"Integration of hydrology into a stream power model yields new insight into climatic controls on fluvial erosion efficiency. The nonlinearity between the steepness index and erosion rate is controlled by erosion thresholds, hydroclimatic conditions, and channel hydraulics.",Process-based,,,,,,,Historical,,,,,,1981-2010,No downscaling,,,,,,Multiple satellite,Hydrology influences how erosive a particular climate forcing will be.,Sec4:Modelling,"SDG15.3,IPCC AR6,UNCCD",5.0,Tier1-Full,llama-3.1-8b-instant,Key2,2018.0,,Process-Based,Daily,Global,,,,5.0,,,Sec4: Modelling,,,,,,,,
"Di Lena et al. - 2021 - Analysis of rainfall erosivity trends 1980–2018 in a complex terrain region (Abruzzo, central Italy).pdf",Di Lena et al.2021,Atmosphere,10.3390/atmos12060657,GScholar,Central Italy,Regional,42.0,13.5,34,1980-2018,Monthly,39,Rain gauges and gridded datasets,MFI,"We calculated the MFI index for 34 stations in the Abruzzo region (central Italy) during 1980–2018, based on both gauge (point) and grid datasets.",Statistical,"Using 30-min rainfall data of 14 stations, we verified that MFI and PCI are reliable predictors of R (R2 = 0.91, RMSE = 163.6 MJ mm ha−1 h−1 year−1).",Mixed,,,,,Historical,,,,,,1981-2010,,Data scarcity,Data scarcity,,,,No-ground only,"The grid data show significant MFI positive trends in 74% of the stations, while the point data display significant positive trends in only 26% of stations and significant negative trends in four stations in the inland areas.",Sec3:Observed,"SDG15.3,IPCC AR6,UNCCD",3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key3,2021.0,Mixed,Statistical,Monthly,Europe,,Ground Only,,3.0,42.0,13.5,Sec3: Observed Trends,,,,,,,,
Dinh et al. - 2021 - Predicting rainfall-induced soil erosion based on a hybridization of adaptive differential evolution.pdf,Dinh et al.2021,Mathematical Problems in Engineering,10.1155/2021/6647829,WoS,Northwest Vietnam,Local,,,236,,,,,,"The proposed method, named L-SHADE-PWI-SVM, is an integration of machine learning and metaheuristic optimization.",ML,,,,,,,,,,,,,,,,,,,,,The newly developed L-SHADE-PWI-SVM method is a competitive soil erosion predictor with superior performance statistics.,Sec4:Modelling,,,Tier1-Full,llama-3.1-8b-instant,Key1,2021.0,,Machine Learning,,South/SE Asia,,,,,,,Sec4: Modelling,,,,,,,,
Diodato and Bellocchi - 2012 - Decadal modelling of rainfall–runoff erosivity in the Euro-Mediterranean region using extreme precip.pdf,Diodato N. et al.2012,Global and Planetary Change,10.1016/j.gloplacha.2012.02.002,WoS,Euro-Mediterranean,Regional,45.0,15.0,111,1961-1990,Daily,30,DREMM,EI30,The Decadal Rainfall Erosive Multiscale Model (DREMM) uses extreme precipitation data (95th percentile) to estimate decadal-scale rainfall–runoff erosivity values compatible with the Universal Soil Loss Equation and its revision — (R)USLE.,Process-based,,,,,,,Historical,,,,,,1961-1990,,,,,,Low,No-ground only,The DREMM model is a transferable approach for assessing the spatial impact of rainfall extremes and characterizing the long-term dynamics of rainfall–runoff erosivity.,Sec4:Modelling,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key2,2012.0,,Process-Based,Daily,Europe,Low,Ground Only,,3.0,45.0,15.0,Sec4: Modelling,,,,,,,,
Diodato et al. - 2020 - Historical predictability of rainfall erosivity a reconstruction for monitoring extremes over North.pdf,Diodato et al.2020,npj Climate and Atmospheric Science,10.1038/s41612-020-00144-9,Scopus,Northern Italy,Regional,45.0,12.0,1,1500-2019,Annual,420,Revised Universal Soil Loss Erosion-based data,Erosivity Density,A model consistent with a sample of detailed Revised Universal Soil Loss Erosion-based data was developed to generate the annual erosivity time-series.,Process-based,,Increasing,+,,,"Increased occurrence of short-term, cyclone-related, extreme rainfall events",Historical,,,,,,1981-2010,,,,,,,,"The modelled data show a noticeable descending trend in rainfall erosivity together with a limited inter-annual variability until ~1708, followed by a slowly increasing erosivity trend.",Sec4:Modelling,,,Tier3-DataOnly,llama-3.1-8b-instant,Key3,2020.0,Increasing,Process-Based,Annual,Europe,,,,,45.0,12.0,Sec4: Modelling,,,,,,,,
Dunkerley - 2019 - Rainfall intensity bursts and the erosion of soils an analysis highlighting the need for high tempo.pdf,Dunkerley DL2019,Earth Surf. Dynam.,https://doi.org/10.5194/esurf-7-345-2019,WoS,Global,Global,,,2,,1 s,,Australian pluviograph records,,The nature of short-lived “intensity bursts” is analysed from the raw inter-tip times of the tipping bucket gauges.,Observation,,,,,,,Historical,,,,,,,,,,,,,,"The aggregation of rainfall data to hourly level conceals the occurrence of many of these short-intensity bursts, which are potentially highly erosive.",Sec2:Theory,,,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2019.0,,Observational,Sub-hourly,Global,,,,,,,Sec2: Theory,,,,,,,,
Duulatov et al. - 2019 - Projected rainfall erosivity over Central Asia based on CMIP5 climate models.pdf,Duulatov et al.2019,Water,10.3390/w11050897,GScholar,Central Asia,Regional,40.0,75.0,4,1980-2020,Daily,40,GCMs,EI30,"The GCMs (BCCCSM1-1, IPSLCM5BLR, MIROC5, and MPIESMLR) were statistically downscaled using the delta method under Representative Concentration Pathways (RCPs) 2.6 and 8.5 for two time periods: “Near” and “Far” future (2030s and 2070s).",Statistical,,Increasing,+5.6%,424.49 MJ mm ha−1 h−1 year−1,p<0.01,Higher rainfall amounts,RCP2.6 and RCP8.5,2030s and 2070s,5.6%,9.6%,"BCCCSM1-1, IPSLCM5BLR, MIROC5, and MPIESMLR",CMIP5,1981-2010,Delta method,,,,,,,The results show an increase in the future periods of the annual rainfall erosivity compared to the baseline.,Sec4:Modelling,,,Tier1-Full,llama-3.1-8b-instant,Key2,2019.0,Increasing,Statistical,Daily,South/SE Asia,,,Significant (p<0.01),,40.0,75.0,Sec4: Modelling,,,,,,,,
"Esmali Ouri et al. - 2020 - Soil erosion susceptibility mapping in Kozetopraghi catchment, Iran A mixed approach using rainfall.pdf",Esmali Ouri et al.2020,Land,10.3390/land9100368,GScholar,Iran,Local,37.0,48.0,174,2020,Mixed,1,Rainfall simulator,Other,"This study presents Support Vector Machine (SVM), Random Forest (RF), and adaptive boosting (AdaBoost) data mining models to map soil erosion susceptibility in Kozetopraghi watershed, Iran.",Statistical,Jackknife and IncNodePurity methods,,,,,,Historical,,,,,,,,,,,,Low,No-ground only,The RF susceptibility map showed that the areas located in the center and near the watershed outlet have the most susceptibility to soil erosion.,Sec3:Observed,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key3,2020.0,,Statistical,Mixed/Event,Middle East/C. Asia,Low,Ground Only,,3.0,37.0,48.0,Sec3: Observed Trends,,,,,,,,
Essel et al. - 2016 - Rainfall erosivity index for the Ghana Atomic Energy Commission site.pdf,Essel et al.2016,SpringerPlus,10.1186/s40064-016-2100-1,WoS,Global,National,5.55,-0.20,1,2003-2012,Monthly,10,GloREDa,MFI,The Modified Fournier index was used to estimate the rainfall erosivity index for the Ghana Atomic Energy Commission site.,Statistical,Pearson’s Coefficient of Correlation,No trend,,,,,Historical,,,,,,1981-2010,,Data scarcity,Data scarcity,,,Low,No-ground only,The computed mean annual erosivity index revealed that the site is in the high erosion risk zone.,Sec3:Observed,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2016.0,No Trend,Statistical,Monthly,Global,Low,Ground Only,,3.0,5.55,-0.2,Sec3: Observed Trends,,,,,,,,
Ezemonye and Emeribe - 2012 - Rainfall Erosivity in Southeastern Nigeria.pdf,Ezemonye et al.2012,Ethiopian Journal of Environmental Studies and Management,http://dx.doi.org/10.4314/ejesm.v5i2.1,RefList,South East Nigeria,Regional,4.1667,7,1,2011-2012,,2,,Erosivity Density,The study established that rainfall erosivity (R) indices over Southeastern Nigeria range from very low to very high erosivity.,Statistical,,,,,,,Historical,,,,,,,,,,,,,,The study established that rainfall erosivity (R) indices over Southeastern Nigeria range from very low to very high erosivity.,Sec3:Observed,,,Tier4-Citation,llama-3.1-8b-instant,Key2,2012.0,,Statistical,,Africa,,,,,4.1667,7.0,Sec3: Observed Trends,,,,,,,,
Farokhzadeh et al. - 2022 - Future rainfall erosivity over Iran based on CMIP5 climate models.pdf,Farokhzadeh et al.2022,Water,10.3390/w14233861,GScholar,Iran,National,34.0,46.0,30,2046-2065,Daily,15,CMIP5,RUSLE,The CMIP5 series models under two scenarios RCP2.6 and RCP8.5 were used to predict precipitation and the R-factor using the Revised Universal Soil Loss Equation (RUSLE) model.,Process-based,,Increasing,+12.4%,,,Climate change,RCP2.6 and RCP8.5,Mid-century,,,CMIP5,CMIP5,,,,,,,Low,No-ground only,"Iran’s climate in the future would face increasing rainfall, specially in west and decreasing rainfall in the central and northern parts.",Sec4:Modelling,,,Tier3-DataOnly,llama-3.1-8b-instant,Key3,2022.0,Increasing,Process-Based,Daily,Middle East/C. Asia,Low,Ground Only,,,34.0,46.0,Sec4: Modelling,+46.5 to +159%,+46.5 to +159% (RCP2.6),"2050, 2090",19862016,4 CMIP5 models,"RCP 2.6, 8.5",HIGH,Abstract
"Feng et al. - 2023 - Detection framework of abrupt changes and trends in rainfall erosivity in Three Gorges Reservoir, Ch.pdf",Feng et al.2023,Sustainability,10.3390/su15032062,GScholar,China,Local,29.58,115.02,1,1980-2020,Annual,1,GloREDa,EI30,A detection framework is introduced to identify temporal changes in rainfall erosivity time series.,Statistical,Hurst coefficient,No trend,,,p<0.01,,Historical,,,,,,1981-2010,,Model structural,Model structural,,No,Low,No-ground only,The proposed framework can effectively reduce uncertainty.,Sec4:Modelling,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2023.0,No Trend,Statistical,Annual,China,Low,Ground Only,Significant (p<0.01),3.0,29.58,115.02,Sec4: Modelling,,,,,,,,
Fenta et al. - 2024 - An integrated modeling approach for estimating monthly global rainfall erosivity.pdf,Fenta et al.2024,Scientific Reports,10.1038/s41598-024-59019-1,GScholar,Global,Global,,,3286,2001-2020,Monthly,20,"IMERG, GloREDa",Erosivity Density,An integrated modeling approach for estimating monthly global rainfall erosivity.,Process-based,,,60.0,,,,,,,,,,,,,,,,,"GPM, TRMM, CHIRPS, ERA5",Monthly rainfall erosivity maps can be used for improving spatiotemporal modeling of soil erosion and planning of soil conservation measures.,Sec4:Modelling,"SDG15.3, IPCC AR6, UNCCD",5.0,Tier1-Full,llama-3.1-8b-instant,Key2,2024.0,,Process-Based,Monthly,Global,,GPM,,5.0,,,Sec4: Modelling,,,,,,,,
Fernández et al. - 2020 - Analysis of the evolution of gully erosion in Olive groves using photogrammetry techniques. Relation.pdf,Fernández et al.2020,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",https://doi.org/10.5194/isprs-annals-VI-3-W1-2020-19-2020,GScholar,Global,Local,37.9,-3.8,1,1980-2020,Mixed,40,"GloREDa,CHIRPS,GPM",Other,"Photogrammetry techniques were used to analyze the evolution of gully erosion in olive groves. Eight historical aerial flights from 1980 to 2016, a LiDAR dataset (2014) and 2 recent UAS surveys (2019-2020) were used and processed in a common reference system with the support of field GNSS ground control points.",Remote Sensing,,,,,,,Historical,,,,,,1981-2010,,,,,,,GPM,The evolution of the gully area for 40 years has been analyzed in relation to the rainfall regime that has been established from the daily rainfall data.,Sec4:Modelling,,3.0,Tier2-Selective,llama-3.1-8b-instant,Key3,2020.0,,Remote Sensing,Mixed/Event,Global,,GPM,,3.0,37.9,-3.8,Sec4: Modelling,,,,,,,,
Ferrier et al. - 2013 - Covariation of climate and long-term erosion rates across a steep rainfall gradient on the Hawaiian.pdf,Ferrier et al.2013,Geological Society of America Bulletin,10.1130/B30726.1,Scopus,Hawaiian island of Kaua'i,Local,22,-159.5,1,2004-2009,Daily,5,"GloREDa,CHIRPS,GPM",Erosivity Density,"New measurements of erosion rates over 5-year to 5-million-year timescales on the Hawaiian island of Kaua‘i, across which mean annual precipitation ranges from 0.5 to 9.5 m/yr.",Process-based,Mapping of landslide scars in satellite imagery of the Hanalei basin from 2004 and 2010,No trend,,,,,Historical,,,,,,1981-2010,,Data scarcity,Data scarcity,,,Low,GPM,Modern erosion rates in the Hanalei basin are no more than 2.3 ± 0.6 times faster than millennial-scale erosion rates.,Sec3:Observed,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2013.0,No Trend,Process-Based,Daily,Other/Regional,Low,GPM,,3.0,22.0,-159.5,Sec3: Observed Trends,,,,,,,,
G.-H. Zhang et al. - 2005 - Potential effects of climate change on rainfall erosivity in the Yellow River basin of China.pdf,Zhang et al.2005,Transactions of the ASAE,,RefList,Yellow River basin of China,Regional,,,,1980-2020,,,,EI30,"Two different rainfall scenarios were generated with the HadCM3 general circulation model for the years 2006 to 2035, 2036 to 2065, and 2066 to 2095.",Process-based,,Increasing,+12.4%,,p<0.01,,Historical,,,,HadCM3,,,,,,,,,,The expected increases in precipitation require that more attention will be given to soil and water conservation practices such as vegetation rehabilitation and check-dam construction.,Sec4:Modelling,"SDG15.3,IPCC AR6,UNCCD",,Tier1-Full,llama-3.1-8b-instant,Key2,2005.0,Increasing,Process-Based,,China,,,Significant (p<0.01),,,,Sec4: Modelling,,,,,,,,
"Gafforov et al. - 2020 - The assessment of climate change on rainfall-runoff erosivity in the Chirchik–Akhangaran Basin, Uzbe.pdf",Gaﬀorov et al.2020,Sustainability,10.3390/su12083369,GScholar,Global,Regional,,,10,1990-2016,Daily,27,GCMs,EI30,"The rainfall erosivity (R) of Universal Soil Loss Equation under the global circulation model (GCM) scenarios was statistically downscaled by using the delta method in Representative Concentration Pathways (RCPs) 4.5 and 8.5 during the periods of the 2030s, 2050s and 2070s.",Statistical,Ten weather station observational data points,Increasing,+11.8%,,p<0.01,Precipitation,RCP4.5 and RCP8.5,"2030s, 2050s and 2070s",,,ACCESS1–3 and CanESM2,,,Delta method,,,,,Low,,"This study is a useful reference for improving soil conservation, preventing water erosion and ensuring the future sustainability of agricultural products, as well as improving the operational management and planning of agriculture.",Sec4:Modelling,"SDG15.3, IPCC AR6, UNCCD",,Tier1-Full,llama-3.1-8b-instant,Key3,2020.0,Increasing,Statistical,Daily,Global,Low,,Significant (p<0.01),,,,Sec4: Modelling,,,,,,,,
Grismer - 2012 - Standards vary in studies using rainfall simulators to evaluate erosion.pdf,Grismer et al.2012,California Agriculture,10.3733/ca.v066n03p102,RefList,California,Local,37.7749,-122.4194,1,2000-2012,Daily,12,UC Davis,,Rainfall simulators are used to measure erosion and the loading of sediments into streams.,Observation,,,,,,,Historical,,,,,,,,,,,,Low,,Rainfall simulators are used to measure erosion and the loading of sediments into streams.,Sec3:Observed,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2012.0,,Observational,Daily,Other/Regional,Low,,,3.0,37.7749,-122.4194,Sec3: Observed Trends,,,,,,,,
